subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testConsent,Fish,clownfish,flyingfish,left,right,clown__-fish-picture-1,flying__1
testConsent,Bird,hawk,hen,right,left,hawk__n01605630_6816,hen__n01514859_195
testConsent,Dogs,mastiff,welsh,right,left,mastiff__n02108254_10310_obj1,welsh__n02112826_13237_obj1
testConsent,Bird,cockateel,hummingbird,left,right,cockateel__n01819734_12942,humming__n01833805_2650
testConsent,Fish,angelfish,sturgeon,right,left,angel__1,sturgeon__1
testConsent,Dogs,komondor,schnauzer,left,right,komondor__n02105505_46_obj1,schnauzer__n02096756_13469_obj1
testConsent,Cats,angora,egyptian,right,left,angora__n02123478_12328,egyptian__n02124075_10694
testConsent,Cats,manx,siamese,left,right,manx__n02124484_1766,siamese__n02123597_4931
testConsent,Dogs,chihuahua,komondor,left,right,chihuahua__n02085620_7436_obj1,komondor__n02105505_46_obj1
testConsent,Trains,tram,trolley,left,right,tram__n04335435_329,trolley__t1
testConsent,Bird,cockateel,owl,left,right,cockateel__n01819734_12942,owl__n01625562_887
testConsent,Bird,hen,owl,left,right,hen__n01514859_195,owl__n01625562_887
testConsent,Cats,abyssinian,egyptian,right,left,abyss__n02124313_595,egyptian__n02124075_10694
